Dish,Best Model,Best RMSE
Carciofi Alla Giodia,Elastic Net,3.5567645946869697
חציל פרמז'ן,Random Forest,4.675047997097929
טירמיסו,Random Forest,7.540397505052439
טליאטה די מנזו,Elastic Net,3.2261393886132383
כבדי עוף ובצל מטוגן,Elastic Net,3.125752214904177
לברק שלם,Random Forest,1.9712827994602977
לזניה בולונז,Random Forest,5.360904510788954
לינגוויני ארביאטה,Elastic Net,3.6645506912630315
לינגוויני ירקות,Random Forest,2.9849546418120347
מאצי 4 גבינות,Holt-Winters,3.935383446770763
מאצי רוזה אפונה ובייקון,Elastic Net,3.5391388864990554
מבחר פטריות,Elastic Net,4.84365189730299
נמסיס,Random Forest,3.8702638996942125
סלט חסה גדול,Elastic Net,4.13845147186045
סלט קולורבי,Random Forest,3.700620227899099
סלט קיסר,Random Forest,4.521380086728991
עוגת גבינה,ARIMA,3.0337725622075262
פוקצ'ת הבית,Random Forest,11.157909614573336
פטוצ'יני תרד גורגונזולה,Elastic Net,7.104531268859922
פנה קרבונרה,Random Forest,5.344976663899891
פסטה בולונז,XGBoost,5.70976821123613
פפרדלה פטריות ושמנת,Elastic Net,5.474678008067787
פרגיות,Random Forest,3.117407011562314
קרפצ'יו בקר אורוגולה ופרמז'ן,Elastic Net,4.946925571904839
שרימפס אליו פפרונצ'ינו,Elastic Net,3.69252527024179
טורטלוני,Elastic Net,5.887990786108047
פילה דג,XGBoost,5.173701706677961
פסטה פירות ים,Random Forest,2.920349553700699
ריזוטו,ARIMA,3.9501372815000773
