תאריך,מספר לקוחות,Carciofi Alla Giodia,חציל פרמז'ן,טירמיסו,טליאטה די מנזו,כבדי עוף ובצל מטוגן,לברק שלם,לזניה בולונז,לינגוויני ארביאטה,לינגוויני ירקות,מאצי 4 גבינות,מאצי רוזה אפונה ובייקון,מבחר פטריות,נמסיס,סלט חסה גדול,סלט קולורבי,סלט קיסר,עוגת גבינה,פוקצ'ת הבית,פטוצ'יני תרד גורגונזולה,פנה קרבונרה,פסטה בולונז,פפרדלה פטריות ושמנת,פרגיות,קרפצ'יו בקר אורוגולה ופרמז'ן,שרימפס אליו פפרונצ'ינו,טורטלוני,פילה דג,פסטה פירות ים,ריזוטו,יום בשבוע,חודש
2024-06-15,359.0,11.0,31.0,61.0,14.0,12.0,10.0,45.0,25.0,18.0,19.0,18.0,22.0,16.0,29,18.0,22.0,11.0,112,68.0,40.0,29.0,37.0,23.0,33.0,14.0,24.0,36.0,8.0,8.0,7,6
2024-06-14,385.0,18.0,41.0,46.0,13.0,9.0,11.0,35.0,21.0,14.0,8.0,13.0,21.0,28.0,22,20.0,24.0,15.0,106,52.0,43.0,41.0,21.0,6.0,35.0,15.0,18.0,26.0,2.0,15.0,6,6
2024-06-13,372.0,16.0,24.0,35.0,15.0,9.0,1.0,28.0,9.0,15.0,9.0,12.0,28.0,15.0,18,16.0,34.0,7.0,79,35.0,29.0,15.0,18.0,12.0,27.0,15.0,24.0,14.0,11.0,4.0,5,6
2024-06-12,267.0,17.0,29.0,47.0,19.0,13.0,10.0,39.0,22.0,11.0,8.0,19.0,8.0,22.0,16,12.0,15.0,13.0,101,37.0,44.0,24.0,28.0,13.0,27.0,15.0,20.0,32.0,13.0,9.0,4,6
2024-06-11,346.0,10.0,30.0,49.0,14.0,18.0,4.0,31.0,14.0,13.0,14.0,16.0,13.0,15.0,19,20.0,22.0,16.0,98,41.0,26.0,23.0,22.0,11.0,29.0,15.0,33.0,24.0,10.0,11.0,3,6
2024-06-10,291.0,6.0,14.0,39.0,9.0,10.0,2.0,23.0,9.0,9.0,12.0,5.0,19.0,10.0,15,17.0,14.0,7.0,70,36.0,20.0,16.0,14.0,5.0,14.0,11.0,23.0,13.0,7.0,10.0,2,6
2024-06-09,330.0,20.0,21.0,28.0,8.0,4.0,1.0,23.0,13.0,5.0,6.0,5.0,17.0,7.0,11,12.0,19.0,6.0,68,29.0,20.0,20.0,15.0,6.0,21.0,6.0,24.0,20.0,10.0,15.0,1,6
2024-06-08,350.0,24.0,40.0,21.0,25.0,16.0,10.0,45.0,19.0,20.0,14.0,14.0,14.0,24.0,25,8.0,25.0,19.0,128,74.0,36.0,31.0,40.0,20.0,33.0,25.0,42.0,22.0,17.0,16.0,7,6
2024-06-07,387.0,8.0,35.0,62.0,10.0,16.0,11.0,33.0,21.0,18.0,11.0,9.0,35.0,18.0,16,13.0,14.0,14.0,105,59.0,30.0,29.0,33.0,14.0,35.0,14.0,38.0,39.0,20.0,11.0,6,6
2024-06-06,372.0,20.0,29.0,55.0,17.0,12.0,5.0,30.0,12.0,19.0,15.0,18.0,24.0,19.0,22,23.0,28.0,10.0,84,39.0,26.0,35.0,19.0,8.0,22.0,11.0,29.0,16.0,13.0,15.0,5,6
2024-06-05,348.0,10.0,15.0,47.0,6.0,7.0,3.0,30.0,9.0,15.0,6.0,4.0,18.0,6.0,21,14.0,18.0,12.0,82,40.0,33.0,18.0,23.0,14.0,23.0,11.0,25.0,9.0,16.0,9.0,4,6
2024-06-04,308.0,10.0,25.0,41.0,8.0,7.0,5.0,16.0,12.0,10.0,10.0,8.0,20.0,10.0,22,16.0,20.0,17.0,79,37.0,21.0,10.0,16.0,9.0,22.0,12.0,18.0,11.0,5.0,8.0,3,6
2024-06-03,319.0,15.0,13.0,37.0,5.0,4.0,1.0,18.0,13.0,17.0,11.0,18.0,12.0,10.0,21,15.0,16.0,17.0,71,27.0,25.0,19.0,20.0,8.0,32.0,11.0,23.0,16.0,16.0,9.0,2,6
2024-06-02,351.0,14.0,20.0,40.0,8.0,7.0,7.0,15.0,23.0,7.0,10.0,9.0,27.0,13.0,15,18.0,23.0,10.0,68,28.0,26.0,23.0,19.0,4.0,20.0,14.0,26.0,10.0,8.0,15.0,1,6
2024-06-01,427.0,17.0,50.0,62.0,23.0,4.0,8.0,38.0,7.0,20.0,19.0,12.0,31.0,19.0,33,22.0,32.0,19.0,126,46.0,53.0,39.0,34.0,18.0,39.0,20.0,41.0,33.0,5.0,14.0,7,6
2024-05-31,351.0,11.0,31.0,66.0,11.0,17.0,10.0,39.0,16.0,13.0,5.0,13.0,26.0,28.0,27,24.0,24.0,12.0,116,48.0,28.0,38.0,29.0,19.0,35.0,5.0,39.0,9.0,19.0,15.0,6,5
2024-05-30,357.0,14.0,22.0,46.0,5.0,6.0,12.0,25.0,14.0,13.0,17.0,10.0,22.0,17.0,15,18.0,23.0,13.0,77,33.0,25.0,21.0,27.0,6.0,15.0,10.0,29.0,16.0,11.0,6.0,5,5
2024-05-29,303.0,20.0,25.0,45.0,10.0,11.0,4.0,17.0,20.0,11.0,8.0,10.0,28.0,14.0,24,27.0,24.0,9.0,85,56.0,20.0,13.0,22.0,6.0,17.0,19.0,17.0,20.0,8.0,13.0,4,5
2024-05-28,322.0,11.0,25.0,33.0,9.0,8.0,4.0,23.0,17.0,10.0,11.0,3.0,16.0,10.0,20,16.0,13.0,10.0,71,46.0,26.0,24.0,16.0,9.0,16.0,11.0,24.0,13.0,7.0,9.0,3,5
2024-05-27,266.0,13.0,16.0,45.0,13.0,6.0,3.0,18.0,5.0,15.0,3.0,8.0,12.0,9.0,13,13.0,18.0,14.0,69,34.0,21.0,16.0,15.0,7.0,21.0,15.0,23.0,14.0,7.0,14.0,2,5
2024-05-26,252.0,13.0,10.0,38.0,6.0,6.0,4.0,16.0,10.0,10.0,12.0,15.0,12.0,11.0,6,24.0,17.0,6.0,56,30.0,13.0,8.0,24.0,2.0,12.0,10.0,24.0,5.0,3.0,12.0,1,5
2024-05-25,358.0,12.0,35.0,56.0,16.0,18.0,11.0,27.0,17.0,19.0,14.0,12.0,20.0,25.0,28,11.0,34.0,8.0,113,70.0,52.0,37.0,14.0,10.0,33.0,11.0,37.0,31.0,10.0,12.0,7,5
2024-05-24,413.0,21.0,44.0,57.0,22.0,15.0,7.0,39.0,20.0,18.0,17.0,14.0,27.0,19.0,23,24.0,27.0,16.0,111,48.0,29.0,26.0,31.0,13.0,30.0,16.0,32.0,36.0,19.0,20.0,6,5
2024-05-23,367.0,13.0,20.0,50.0,17.0,8.0,5.0,20.0,17.0,15.0,16.0,7.0,30.0,14.0,25,20.0,19.0,13.0,92,42.0,27.0,13.0,31.0,10.0,24.0,12.0,27.0,17.0,6.0,7.0,5,5
2024-05-22,374.0,11.0,20.0,50.0,12.0,7.0,5.0,24.0,14.0,13.0,12.0,15.0,26.0,12.0,28,22.0,26.0,14.0,87,38.0,16.0,23.0,32.0,12.0,29.0,16.0,29.0,11.0,8.0,13.0,4,5
2024-05-21,343.0,12.0,19.0,44.0,11.0,5.0,6.0,11.0,13.0,14.0,9.0,12.0,23.0,13.0,17,19.0,25.0,17.0,84,36.0,14.0,22.0,35.0,9.0,24.0,13.0,23.0,10.0,3.0,8.0,3,5
2024-05-20,323.0,11.0,20.0,44.0,10.0,7.0,5.0,21.0,15.0,13.0,10.0,10.0,16.0,12.0,16,15.0,16.0,9.0,68,35.0,26.0,18.0,18.0,8.0,19.0,12.0,25.0,13.0,12.0,7.0,2,5
2024-05-19,322.0,12.0,23.0,47.0,2.0,6.0,4.0,29.0,11.0,15.0,8.0,11.0,30.0,12.0,17,22.0,22.0,9.0,72,46.0,31.0,23.0,14.0,6.0,17.0,13.0,24.0,8.0,5.0,17.0,1,5
2024-05-18,405.0,16.0,38.0,65.0,27.0,14.0,3.0,48.0,23.0,23.0,16.0,16.0,25.0,22.0,28,31.0,29.0,13.0,137,49.0,39.0,32.0,41.0,17.0,32.0,16.0,43.0,39.0,6.0,17.0,7,5
2024-05-17,373.0,18.0,29.0,56.0,22.0,14.0,11.0,42.0,21.0,14.0,12.0,21.0,26.0,24.0,25,24.0,20.0,16.0,92,55.0,44.0,40.0,19.0,17.0,35.0,18.0,26.0,36.0,17.0,14.0,6,5
2024-05-16,361.0,13.0,32.0,51.0,19.0,8.0,5.0,31.0,19.0,14.0,12.0,22.0,24.0,21.0,21,20.0,32.0,19.0,91,62.0,38.0,27.0,34.0,12.0,26.0,14.0,34.0,17.0,6.0,18.0,5,5
2024-05-15,313.0,14.0,17.0,40.0,11.0,10.0,11.0,21.0,13.0,13.0,4.0,7.0,29.0,4.0,14,18.0,11.0,9.0,69,45.0,19.0,15.0,17.0,1.0,18.0,8.0,13.0,17.0,9.0,10.0,4,5
2024-05-12,280.0,5.0,5.0,16.0,4.0,1.0,6.0,5.0,4.0,1.0,9.0,1.0,5.0,3.0,1,2.0,4.0,3.0,60,42.0,1.0,5.0,3.0,1.0,2.0,1.0,21.0,0.0,0.0,3.0,1,5
2024-05-11,346.0,19.0,46.0,56.0,24.0,7.0,7.0,43.0,7.0,20.0,18.0,12.0,11.0,22.0,29,22.0,26.0,15.0,133,75.0,31.0,32.0,42.0,21.0,37.0,12.0,38.0,22.0,5.0,11.0,7,5
2024-05-10,373.0,10.0,41.0,74.0,20.0,17.0,9.0,50.0,21.0,20.0,17.0,16.0,31.0,26.0,25,21.0,21.0,4.0,113,59.0,37.0,13.0,37.0,21.0,41.0,24.0,38.0,19.0,16.0,13.0,6,5
